precinct_key,district_num,area_weight
CARROLL - 000018,7,1.000000
CARTER - 000002,153,1.000000
CARTER - 000003,153,1.000000
CARTER - 000004,153,1.000000
CARTER - 000005,153,1.000000
CARTER - 000006,153,1.000000
CARTER - 000007,153,1.000000
CARTER - 000008,153,1.000000
CASS - 000002,62,1.000000
CASS - 000003,62,1.000000
CASS - 000004,56,1.000000
CASS - 000005,56,1.000000
CASS - 000006,56,1.000000
CASS - 000007,56,1.000000
CASS - 000008,56,1.000000
CASS - 000009,56,1.000000
CASS - 000010,56,0.973810
CASS - 000010,62,0.026190
CASS - 000011,55,1.000000
CASS - 000012,55,1.000000
CASS - 000013,55,0.795238
CASS - 000013,62,0.204762
CASS - 000014,62,1.000000
CASS - 000015,62,1.000000
CASS - 000016,62,1.000000
CASS - 000017,62,1.000000
CASS - 000018,62,1.000000
CASS - 000019,62,1.000000
CASS - 000020,55,1.000000
CASS - 000021,62,0.892857
CASS - 000021,55,0.107143
CASS - 000022,55,1.000000
CASS - 000023,55,1.000000
CASS - 000024,55,0.980952
CASS - 000024,62,0.019048
CASS - 000025,62,0.938095
CASS - 000025,55,0.061905
CASS - 000026,55,0.959524
CASS - 000026,62,0.040476
CASS - 000027,62,1.000000
CASS - 000028,62,0.854762
CASS - 000028,56,0.145238
CASS - 000029,55,0.990476
CASS - 000029,62,0.009524
CASS - 000030,55,1.000000
CASS - 000031,55,1.000000
CASS - 000032,55,1.000000
CASS - 000033,55,1.000000
CASS - 000034,55,1.000000
CASS - 000035,56,1.000000
CASS - 000036,56,1.000000
CASS - 000037,55,1.000000
CASS - 000038,56,1.000000
CASS - 000039,56,1.000000
CASS - 000040,55,0.740476
CASS - 000040,56,0.259524
CASS - 000041,55,0.488095
CASS - 000041,62,0.426190
CASS - 000041,56,0.085714
CASS - 000042,62,1.000000
CASS - 000043,62,1.000000
CASS - 000044,62,1.000000
CASS - 000045,62,1.000000
CASS - 000046,62,1.000000
CASS - 000047,55,0.302381
CASS - 000047,62,0.697619
CEDAR - 000002,127,1.000000
CEDAR - 000003,127,0.435714
CEDAR - 000003,125,0.564286
CEDAR - 000004,125,1.000000
CEDAR - 000005,125,1.000000
CEDAR - 000006,125,1.000000
CEDAR - 000007,125,1.000000
CEDAR - 000008,125,1.000000
CEDAR - 000009,125,1.000000
CEDAR - 000010,125,1.000000
CEDAR - 000011,125,0.947619
CEDAR - 000011,127,0.052381
CEDAR - 000012,127,1.000000
CEDAR - 000013,127,1.000000
CEDAR - 000014,127,1.000000
CEDAR - 000015,125,1.000000
CHARITON - 000002,48,1.000000
CHARITON - 000003,48,0.997619
CHARITON - 000003,51,0.002381
CHARITON - 000004,48,1.000000
CHARITON - 000005,48,0.969048
CHARITON - 000005,51,0.030952
CHARITON - 000006,48,1.000000
CHARITON - 000007,48,1.000000
CHARITON - 000008,48,1.000000
CHARITON - 000009,48,1.000000
CHARITON - 000010,48,1.000000
CHARITON - 000011,48,1.000000
CHARITON - 000012,48,1.000000
CHARITON - 000013,48,1.000000
CHARITON - 000014,48,1.000000
CHARITON - 000015,48,1.000000
CHARITON - 000016,48,1.000000
CHARITON - 000017,48,1.000000
CHRISTIAN - 000002,140,1.000000
CHRISTIAN - 000003,140,1.000000
CHRISTIAN - 000004,140,0.852381
CHRISTIAN - 000004,138,0.147619
CHRISTIAN - 000005,140,1.000000
CHRISTIAN - 000006,138,1.000000
CHRISTIAN - 000007,140,0.990476
CHRISTIAN - 000007,138,0.009524
CHRISTIAN - 000008,139,0.500000
CHRISTIAN - 000008,140,0.500000
CHRISTIAN - 000009,138,1.000000
CHRISTIAN - 000010,138,1.000000
CHRISTIAN - 000011,139,1.000000
CHRISTIAN - 000012,138,1.000000
CHRISTIAN - 000013,138,1.000000
CHRISTIAN - 000014,139,1.000000
CHRISTIAN - 000015,140,1.000000
CHRISTIAN - 000016,140,1.000000
CHRISTIAN - 000017,138,1.000000
CHRISTIAN - 000018,139,0.440476
