block_geoid20,blk2020gj,precinct_key,district_num,is_kansas_city,election_county,election_county_aliases
290950021002029,G29009500021002029,JACKSON - KC1314,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950143004001,G29009500143004001,JACKSON - 000359,35,1,KANSAS CITY,KANSAS CITY|JACKSON
290950122002004,G29009500122002004,JACKSON - 000059,21,0,JACKSON,JACKSON|KANSAS CITY
290950162002025,G29009500162002025,JACKSON - 000304,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950163001073,G29009500163001073,JACKSON - 000225,22,1,KANSAS CITY,KANSAS CITY|JACKSON
290950177002005,G29009500177002005,JACKSON - 000037,20,0,JACKSON,JACKSON|KANSAS CITY
290950145043002,G29009500145043002,JACKSON - 000099,29,0,JACKSON,JACKSON|KANSAS CITY
290950066002013,G29009500066002013,JACKSON - K16459,27,0,JACKSON,JACKSON|KANSAS CITY
290950085001002,G29009500085001002,JACKSON - 000477,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950063002022,G29009500063002022,JACKSON - 000460,22,1,KANSAS CITY,KANSAS CITY|JACKSON
290950018003015,G29009500018003015,JACKSON - 000308,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950138011025,G29009500138011025,JACKSON - 000540,30,0,JACKSON,JACKSON|KANSAS CITY
290950137063000,G29009500137063000,JACKSON - 000539,34,0,JACKSON,JACKSON|KANSAS CITY
290950011002018,G29009500011002018,JACKSON - 000148,24,1,KANSAS CITY,KANSAS CITY|JACKSON
290950019002003,G29009500019002003,JACKSON - 000201,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950018003000,G29009500018003000,JACKSON - 000308,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950147023018,G29009500147023018,JACKSON - 000066,20,0,JACKSON,JACKSON|KANSAS CITY
290950149033002,G29009500149033002,JACKSON - 000606,32,0,JACKSON,JACKSON|KANSAS CITY
290950149051009,G29009500149051009,JACKSON - 000570,33,0,JACKSON,JACKSON|KANSAS CITY
290950141252011,G29009500141252011,JACKSON - 000595,31,0,JACKSON,JACKSON|KANSAS CITY
290950177001072,G29009500177001072,JACKSON - 000606,20,0,JACKSON,JACKSON|KANSAS CITY
290950102034005,G29009500102034005,JACKSON - 000319,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950140062016,G29009500140062016,JACKSON - 000608,32,0,JACKSON,JACKSON|KANSAS CITY
290950148041027,G29009500148041027,JACKSON - 000593,20,0,JACKSON,JACKSON|KANSAS CITY
290950134011019,G29009500134011019,JACKSON - 000663,36,0,JACKSON,JACKSON|KANSAS CITY
290950115013005,G29009500115013005,JACKSON - 000069,21,0,JACKSON,JACKSON|KANSAS CITY
290950052001002,G29009500052001002,JACKSON - 000414,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950105002000,G29009500105002000,JACKSON - KC2304,28,1,KANSAS CITY,KANSAS CITY|JACKSON
290950151001012,G29009500151001012,JACKSON - 000007,20,0,JACKSON,JACKSON|KANSAS CITY
290950114063012,G29009500114063012,JACKSON - 000022,20,0,JACKSON,JACKSON|KANSAS CITY
290959891001024,G29009509891001024,JACKSON - 000623,33,0,JACKSON,JACKSON|KANSAS CITY
290950082001010,G29009500082001010,JACKSON - 000455,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950156003015,G29009500156003015,JACKSON - 160102,21,0,JACKSON,JACKSON|KANSAS CITY
